Date,Predicted_Close,Actual_Close,Stock
2022-01-26,1.182397961616516,1.22,MKH
2022-01-27,1.380151391029358,1.24,MKH
2022-01-28,1.4022160768508911,1.23,MKH
2022-01-31,1.161963701248169,1.24,MKH
2022-02-03,1.2666507959365845,1.3,MKH
2022-02-04,1.1606976985931396,1.28,MKH
2022-02-07,1.1412513256072998,1.33,MKH
2022-02-08,1.2314705848693848,1.31,MKH
2022-02-09,1.2454482316970823,1.29,MKH
2022-02-10,1.266930103302002,1.31,MKH
2022-02-11,1.1338478326797483,1.33,MKH
2022-02-14,1.2728166580200195,1.3,MKH
2022-02-15,1.3180371522903442,1.33,MKH
2022-02-16,1.1611998081207275,1.33,MKH
2022-02-17,1.342545509338379,1.37,MKH
2022-02-18,1.1258844137191772,1.37,MKH
2022-02-21,1.1692179441452026,1.38,MKH
2022-02-22,1.2371195554733276,1.41,MKH
2022-02-23,1.273279905319214,1.44,MKH
2022-02-24,1.352128505706787,1.45,MKH
2022-02-25,1.169376015663147,1.46,MKH
2022-02-28,1.352392315864563,1.42,MKH
2022-03-01,1.3515005111694336,1.37,MKH
2022-03-02,1.197359323501587,1.4,MKH
2022-03-03,1.2774875164031982,1.42,MKH
2022-03-04,1.0234071016311646,1.37,MKH
2022-03-07,1.0690397024154663,1.32,MKH
2022-03-08,1.2189152240753174,1.31,MKH
2022-03-09,1.2241311073303225,1.31,MKH
2022-03-10,1.3079781532287598,1.31,MKH
2022-03-11,1.0183409452438354,1.31,MKH
2022-03-14,1.2691570520401,1.29,MKH
2022-03-15,1.314820408821106,1.28,MKH
2022-03-16,1.1099674701690674,1.29,MKH
2022-03-17,1.189761996269226,1.31,MKH
2022-03-18,1.1067726612091064,1.31,MKH
2022-03-21,1.1488850116729736,1.33,MKH
2022-03-22,1.1875360012054443,1.31,MKH
2022-03-23,1.216556191444397,1.31,MKH
2022-03-24,1.202053785324097,1.31,MKH
2022-03-25,1.057108759880066,1.36,MKH
2022-03-28,1.2313145399093628,1.37,MKH
2022-03-29,1.2608225345611572,1.36,MKH
2022-03-30,1.1405525207519531,1.33,MKH
2022-03-31,1.202741622924805,1.35,MKH
2022-04-01,1.116370677947998,1.33,MKH
2022-04-04,1.125067949295044,1.35,MKH
2022-04-05,1.169296145439148,1.36,MKH
2022-04-06,1.2172695398330688,1.39,MKH
2022-04-07,1.2167868614196775,1.39,MKH
2022-04-08,1.055762529373169,1.39,MKH
2022-04-11,1.2242332696914673,1.4,MKH
2022-04-12,1.2805074453353882,1.4,MKH
2022-04-13,1.1856379508972168,1.4,MKH
2022-04-14,1.2085809707641602,1.38,MKH
2022-04-15,1.1603472232818604,1.37,MKH
2022-04-18,1.1189634799957275,1.36,MKH
2022-04-20,1.1830464601516724,1.38,MKH
2022-04-21,1.2252559661865234,1.41,MKH
2022-04-22,1.2183561325073242,1.41,MKH
2022-04-25,1.0758363008499146,1.38,MKH
2022-04-26,1.214538335800171,1.36,MKH
2022-04-27,1.280834674835205,1.35,MKH
2022-04-28,1.1867644786834717,1.36,MKH
2022-04-29,1.2096123695373535,1.37,MKH
2022-05-05,1.1362080574035645,1.37,MKH
2022-05-06,1.1487455368041992,1.36,MKH
2022-05-09,1.1933459043502808,1.33,MKH
2022-05-10,1.2132019996643066,1.31,MKH
2022-05-11,1.2199397087097168,1.33,MKH
2022-05-12,1.072288990020752,1.3,MKH
2022-05-13,1.209533929824829,1.31,MKH
2022-05-17,1.253727674484253,1.31,MKH
2022-05-18,1.1819138526916504,1.32,MKH
2022-01-03,0.4659428894519806,0.46,OCK
2022-01-04,0.4525229334831238,0.46,OCK
2022-01-05,0.4724501967430115,0.465,OCK
2022-01-06,0.4778644740581512,0.47,OCK
2022-01-07,0.483927309513092,0.465,OCK
2022-01-10,0.4540311396121979,0.46,OCK
2022-01-11,0.4457314610481262,0.455,OCK
2022-01-12,0.4859598875045776,0.45,OCK
2022-01-13,0.4907792210578918,0.45,OCK
2022-01-14,0.4668256044387817,0.45,OCK
2022-01-17,0.446840226650238,0.445,OCK
2022-01-19,0.4621428251266479,0.445,OCK
2022-01-20,0.4441204667091369,0.435,OCK
2022-01-21,0.4638364613056183,0.43,OCK
2022-01-24,0.4949671626091003,0.435,OCK
2022-01-25,0.458143800497055,0.43,OCK
2022-01-26,0.4591107368469238,0.43,OCK
2022-01-27,0.4791818857192993,0.425,OCK
2022-01-28,0.4784125685691833,0.425,OCK
2022-01-31,0.4631425142288208,0.42,OCK
2022-02-03,0.4296938180923462,0.425,OCK
2022-02-04,0.4454270899295807,0.435,OCK
2022-02-07,0.4430702626705169,0.425,OCK
2022-02-08,0.4515199661254883,0.43,OCK
2022-02-09,0.4769436120986938,0.43,OCK
2022-02-10,0.4500746130943298,0.425,OCK
2022-02-11,0.4401072263717651,0.415,OCK
2022-02-14,0.465755820274353,0.415,OCK
2022-02-15,0.4662634134292602,0.42,OCK
2022-02-16,0.4473576843738556,0.42,OCK
2022-02-17,0.4082785248756408,0.42,OCK
2022-02-18,0.4144721627235412,0.42,OCK
2022-02-21,0.4177733659744262,0.415,OCK
2022-02-22,0.4253436923027038,0.405,OCK
2022-02-23,0.4397817254066467,0.405,OCK
2022-02-24,0.4201614558696747,0.4,OCK
2022-02-25,0.4066003561019897,0.405,OCK
2022-02-28,0.4265140891075134,0.4,OCK
2022-03-01,0.4384661316871643,0.395,OCK
2022-03-02,0.4160533547401428,0.395,OCK
2022-03-03,0.3743845522403717,0.4,OCK
2022-03-04,0.3814866840839386,0.4,OCK
2022-03-07,0.3704017996788025,0.39,OCK
2022-03-08,0.3943045735359192,0.385,OCK
2022-03-09,0.4197365343570709,0.4,OCK
2022-03-10,0.3848515152931213,0.4,OCK
2022-03-11,0.3686099052429199,0.405,OCK
2022-03-14,0.3829730153083801,0.4,OCK
2022-03-15,0.4021022915840149,0.39,OCK
2022-03-16,0.3840594291687011,0.4,OCK
2022-03-17,0.3539028763771057,0.405,OCK
